City,Category,Sub-Category,Product,SKU ID,Image,Brand,SKU Name,SKU Size,MRP,Selling Price,Item Link,In Stock,Out of Stock,Rating,Price
,BEVERAGES,TEA,GREEN TEA,40004135,https://www.bigbasket.com/media/uploads/p/l/40004135_9-lipton-green-tea-pure-light.jpg,Lipton,Lipton Green Tea,130 g (100 Bags x 1.3 g each),Rs 625,Rs 531.25,https://www.bigbasket.com/pd/40004135/lipton-green-tea-pure-light-130-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹531.25
,BEVERAGES,TEA,GREEN TEA,307984,https://www.bigbasket.com/media/uploads/p/l/307984_8-tetley-green-tea-long-leaf.jpg,Tetley,Tetley Long Leaf Original Green Tea,500 g,Rs 500,Rs 416,https://www.bigbasket.com/pd/307984/tetley-green-tea-long-leaf-500-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹425
,BEVERAGES,TEA,GREEN TEA,40024618,https://www.bigbasket.com/media/uploads/p/l/40024618_10-lipton-lemon-zest-green-tea-bags.jpg,Lipton,Lipton Green Tea Bags,32.5 g (25 Bags x 1.3 g each),Rs 170,Rs 153,https://www.bigbasket.com/pd/40024618/lipton-lemon-zest-green-tea-bags-325-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹170
,BEVERAGES,TEA,LEAF & DUST TEA,137936,https://www.bigbasket.com/media/uploads/p/l/137936_11-taj-mahal-tea.jpg,Taj Mahal,"Taj Mahal Tea, 1 Kg Carton",1 Kg Carton,Rs 825,Rs 735,https://www.bigbasket.com/pd/137936/taj-mahal-tea-1-kg-carton/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4,₹580
,BEVERAGES,TEA,LEAF & DUST TEA,226491,https://www.bigbasket.com/media/uploads/p/l/226491_10-red-label-tea-natural-care.jpg,Red Label,Red Label Tea,1 kg,Rs 650,Rs 580,https://www.bigbasket.com/pd/226491/red-label-tea-natural-care-1-kg/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹480
,BEVERAGES,TEA,LEAF & DUST TEA,266572,https://www.bigbasket.com/media/uploads/p/l/266572_4-3-roses-dust-tea.jpg,3 Roses,"3 Roses Dust Tea, 500 g Carton",500 g Carton,Rs 390,Rs 375,https://www.bigbasket.com/pd/266572/3-roses-dust-tea-500-g-carton/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹335.27
,BEVERAGES,TEA,LEAF & DUST TEA,264437,https://www.bigbasket.com/media/uploads/p/l/264437_2-tata-tea-kanan-devan-tea.jpg,Tata Tea Kanan Devan,"Tata Tea Kanan Devan Tea, 500 g",500 g,Rs 158,Rs 145.36,https://www.bigbasket.com/pd/264437/tata-tea-kanan-devan-tea-500-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹156.75
,BEVERAGES,TEA,LEAF & DUST TEA,240065,https://www.bigbasket.com/media/uploads/p/l/240065_14-tata-tea-gold-tea.jpg,Tata Tea Gold,"Tata Tea Gold Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea, 1 kg",1 kg,Rs 570,Rs 474.24,https://www.bigbasket.com/pd/240065/tata-tea-gold-tea-1-kg/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹467.4
,BEVERAGES,TEA,LEAF & DUST TEA,40200082,https://www.bigbasket.com/media/uploads/p/l/40200082_3-tata-tea-gold-tea.jpg,Tata Tea Gold,"Tata Tea Gold Tea, 1.5 Kg",1.5 Kg,Rs 930,Rs 770.97,https://www.bigbasket.com/pd/40200082/tata-tea-gold-tea-15-kg/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹781.2
,BEVERAGES,TEA,LEAF & DUST TEA,20003982,https://www.bigbasket.com/media/uploads/p/l/20003982_3-wagh-bakri-premium-leaf-tea.jpg,Wagh Bakri,Wagh Bakri Premium Leaf Tea,1 kg Pouch,Rs 560,Rs 535,https://www.bigbasket.com/pd/20003982/wagh-bakri-premium-leaf-tea-1-kg/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹484
